0.00	0.50	0.00	2.25	0.00
0.04	0.52	1.16	2.23	-0.78
0.08	0.59	2.15	2.19	-1.47
0.12	0.69	2.85	2.12	-2.00
0.16	0.82	3.19	2.03	-2.32
0.20	0.94	3.13	1.93	-2.40
0.24	1.06	2.69	1.84	-2.24
0.28	1.15	1.91	1.76	-1.88
0.32	1.21	0.90	1.69	-1.36
0.36	1.23	-0.23	1.65	-0.75
0.40	1.19	-1.36	1.63	-0.13
0.44	1.12	-2.36	1.64	0.43
0.48	1.01	-3.12	1.66	0.87
0.52	0.87	-3.56	1.71	1.13
0.56	0.73	-3.66	1.75	1.19
0.60	0.58	-3.40	1.80	1.04
0.64	0.46	-2.82	1.83	0.71
0.68	0.36	-2.01	1.85	0.24
0.72	0.30	-1.05	1.85	-0.33
0.76	0.28	-0.07	1.83	-0.92
0.80	0.29	0.83	1.78	-1.46
0.84	0.34	1.54	1.71	-1.90
0.88	0.41	2.00	1.63	-2.19
0.92	0.50	2.16	1.54	-2.30
0.96	0.58	2.00	1.45	-2.22
1.00	0.65	1.55	1.36	-1.96
1.04	0.70	0.88	1.29	-1.55
1.08	0.72	0.07	1.24	-1.05
1.12	0.71	-0.79	1.21	-0.51
1.16	0.66	-1.59	1.20	0.02
1.20	0.58	-2.25	1.21	0.47
1.24	0.48	-2.69	1.23	0.80
1.29	0.37	-2.86	1.27	0.97
1.33	0.26	-2.74	1.31	0.99
1.37	0.15	-2.37	1.35	0.84
1.41	0.07	-1.77	1.37	0.56
1.45	0.01	-1.02	1.39	0.19
1.49	-0.01	-0.21	1.39	-0.23
1.53	-0.00	0.58	1.37	-0.65
1.57	0.03	1.26	1.34	-1.00
1.61	0.09	1.76	1.29	-1.26
1.65	0.17	2.03	1.24	-1.38
1.69	0.25	2.05	1.18	-1.36
1.73	0.33	1.83	1.13	-1.20
1.77	0.40	1.41	1.09	-0.91
1.81	0.44	0.83	1.06	-0.52
1.85	0.46	0.18	1.05	-0.09
1.89	0.46	-0.47	1.05	0.36
1.93	0.43	-1.04	1.07	0.76
1.97	0.38	-1.47	1.11	1.08
2.01	0.31	-1.70	1.16	1.29
2.05	0.24	-1.72	1.21	1.37
2.09	0.18	-1.53	1.27	1.31
2.13	0.12	-1.14	1.32	1.14
2.17	0.09	-0.60	1.36	0.88
2.21	0.08	0.02	1.39	0.55
2.25	0.09	0.65	1.40	0.21
2.29	0.13	1.23	1.40	-0.11
2.33	0.19	1.68	1.39	-0.37
2.37	0.26	1.98	1.38	-0.54
2.41	0.34	2.08	1.35	-0.60
2.45	0.42	1.98	1.33	-0.55
2.49	0.50	1.70	1.31	-0.39
2.53	0.56	1.28	1.30	-0.14
2.57	0.60	0.77	1.30	0.16
2.61	0.62	0.22	1.31	0.49
2.65	0.62	-0.29	1.34	0.80
2.69	0.60	-0.72	1.38	1.05
2.73	0.56	-1.01	1.42	1.24
2.77	0.52	-1.14	1.47	1.32
2.81	0.47	-1.10	1.53	1.30
2.85	0.43	-0.89	1.58	1.17
2.89	0.40	-0.55	1.62	0.96
2.93	0.39	-0.11	1.65	0.69
2.97	0.39	0.36	1.67	0.39
3.01	0.42	0.81	1.68	0.10
3.05	0.46	1.20	1.68	-0.17
3.09	0.51	1.47	1.67	-0.37
3.13	0.57	1.60	1.65	-0.49
3.17	0.64	1.57	1.63	-0.53
3.21	0.70	1.39	1.61	-0.47
3.25	0.75	1.09	1.60	-0.33
3.29	0.78	0.69	1.59	-0.14
3.33	0.80	0.24	1.59	0.08
3.37	0.80	-0.21	1.59	0.31
3.41	0.79	-0.60	1.61	0.52
3.45	0.76	-0.91	1.63	0.67
3.49	0.72	-1.10	1.66	0.76
3.53	0.67	-1.14	1.69	0.76
3.57	0.63	-1.06	1.72	0.69
3.61	0.59	-0.85	1.75	0.54
3.65	0.56	-0.55	1.77	0.33
3.69	0.54	-0.20	1.77	0.09
3.73	0.54	0.16	1.77	-0.16
3.78	0.56	0.49	1.76	-0.39
3.82	0.58	0.74	1.74	-0.58
3.86	0.61	0.90	1.72	-0.71
3.90	0.65	0.94	1.69	-0.78
3.94	0.69	0.86	1.66	-0.77
3.98	0.72	0.66	1.63	-0.69
4.02	0.74	0.38	1.60	-0.56
4.06	0.75	0.05	1.58	-0.38
4.10	0.74	-0.31	1.57	-0.19
4.14	0.72	-0.64	1.57	-0.01
4.18	0.69	-0.91	1.57	0.14
4.22	0.65	-1.09	1.58	0.25
4.26	0.61	-1.18	1.59	0.29
4.30	0.56	-1.15	1.60	0.28
4.34	0.52	-1.02	1.61	0.20
4.38	0.48	-0.80	1.61	0.08
4.42	0.45	-0.53	1.61	-0.08
4.46	0.44	-0.23	1.61	-0.26
4.50	0.43	0.06	1.59	-0.44
4.54	0.44	0.32	1.57	-0.59
4.58	0.46	0.50	1.55	-0.70
4.62	0.48	0.59	1.52	-0.76
4.66	0.50	0.59	1.49	-0.76
4.70	0.53	0.50	1.46	-0.70
4.74	0.54	0.33	1.43	-0.59
4.78	0.55	0.10	1.41	-0.45
4.82	0.55	-0.16	1.40	-0.28
4.86	0.54	-0.41	1.39	-0.12
4.90	0.52	-0.63	1.39	0.04
4.94	0.49	-0.80	1.39	0.16
4.98	0.46	-0.89	1.40	0.24
5.02	0.42	-0.89	1.41	0.27
5.06	0.38	-0.81	1.42	0.26
5.10	0.36	-0.66	1.43	0.19
5.14	0.33	-0.45	1.44	0.10
5.18	0.32	-0.20	1.44	-0.02
5.22	0.32	0.05	1.43	-0.15
5.26	0.32	0.28	1.43	-0.26
5.30	0.34	0.47	1.41	-0.36
5.34	0.36	0.59	1.40	-0.41
5.38	0.38	0.63	1.38	-0.42
5.42	0.41	0.61	1.36	-0.39
5.46	0.43	0.51	1.35	-0.31
5.50	0.45	0.36	1.34	-0.21
5.54	0.46	0.17	1.33	-0.08
5.58	0.46	-0.03	1.33	0.06
5.62	0.46	-0.22	1.34	0.20
5.66	0.45	-0.37	1.35	0.31
5.70	0.43	-0.47	1.36	0.40
5.74	0.41	-0.50	1.38	0.44
5.78	0.39	-0.47	1.40	0.45
5.82	0.37	-0.38	1.42	0.41
5.86	0.36	-0.23	1.43	0.35
5.90	0.35	-0.05	1.44	0.26
5.94	0.36	0.14	1.45	0.15
5.98	0.37	0.33	1.46	0.05
6.02	0.38	0.49	1.46	-0.04
6.06	0.40	0.60	1.45	-0.10
6.10	0.43	0.67	1.45	-0.14
6.14	0.46	0.67	1.44	-0.14
6.18	0.48	0.61	1.44	-0.10
6.22	0.50	0.50	1.43	-0.04
6.27	0.52	0.35	1.43	0.05
6.31	0.53	0.19	1.44	0.14
6.35	0.54	0.02	1.45	0.24
6.39	0.53	-0.12	1.46	0.33
6.43	0.53	-0.24	1.47	0.39
6.47	0.52	-0.30	1.49	0.43
6.51	0.50	-0.31	1.51	0.44
6.55	0.49	-0.28	1.52	0.42
6.59	0.48	-0.19	1.54	0.36
6.63	0.48	-0.07	1.55	0.29
6.67	0.48	0.07	1.56	0.20
6.71	0.48	0.21	1.57	0.10
6.75	0.49	0.34	1.57	0.01
6.79	0.51	0.43	1.57	-0.06
6.83	0.53	0.49	1.57	-0.11
6.87	0.55	0.51	1.56	-0.14
6.91	0.57	0.47	1.55	-0.14
6.95	0.59	0.39	1.55	-0.11
6.99	0.60	0.28	1.55	-0.06
7.03	0.61	0.15	1.55	0.00
7.07	0.61	0.01	1.55	0.07
7.11	0.61	-0.12	1.55	0.13
7.15	0.60	-0.23	1.56	0.19
7.19	0.59	-0.31	1.57	0.22
7.23	0.58	-0.35	1.57	0.23
7.27	0.56	-0.34	1.58	0.22
7.31	0.55	-0.30	1.59	0.18
7.35	0.54	-0.22	1.60	0.12
7.39	0.53	-0.12	1.60	0.05
7.43	0.53	-0.02	1.60	-0.02
7.47	0.53	0.09	1.60	-0.10
7.51	0.54	0.18	1.59	-0.17
7.55	0.54	0.24	1.59	-0.22
7.59	0.55	0.27	1.58	-0.25
7.63	0.57	0.26	1.57	-0.26
7.67	0.57	0.21	1.56	-0.25
7.71	0.58	0.14	1.55	-0.22
7.75	0.59	0.04	1.54	-0.17
7.79	0.59	-0.06	1.53	-0.11
7.83	0.58	-0.17	1.53	-0.06
7.87	0.57	-0.26	1.53	-0.01
7.91	0.56	-0.33	1.53	0.03
7.95	0.55	-0.38	1.53	0.06
7.99	0.53	-0.38	1.53	0.06
8.03	0.52	-0.36	1.54	0.05
8.07	0.50	-0.30	1.54	0.02
8.11	0.49	-0.23	1.54	-0.03
8.15	0.48	-0.14	1.54	-0.08
8.19	0.48	-0.05	1.53	-0.13
8.23	0.48	0.04	1.52	-0.18
8.27	0.48	0.11	1.52	-0.22
8.31	0.49	0.15	1.51	-0.25
8.35	0.49	0.16	1.50	-0.26
8.39	0.50	0.15	1.49	-0.25
8.43	0.51	0.11	1.48	-0.22
8.47	0.51	0.05	1.47	-0.18
